,,,,,,,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches,-9999
1,Antonio Adán,es ESP,GK,Betis,es La Liga,30,1987,30.0,53,3,0,5,4,41.8,0.29,-7.2,-0.24,176,490,35.9,1002,130,33.8,32.8,253,59.7,44.4,468,17,3.6,22,0.73,14.6,Matches,65d62814
2,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14.0,18,1,0,5,0,14.0,0.25,-4.0,-0.29,78,216,36.1,322,55,39.1,36.3,117,76.9,54.9,209,19,9.1,22,1.57,15.4,Matches,f71890f5
3,Adrián,es ESP,GK,West Ham,eng Premier League,30,1987,19.0,29,1,1,6,1,27.8,0.29,-0.2,-0.01,154,445,34.6,383,47,72.8,47.7,184,90.2,59.3,316,13,4.1,31,1.63,16.0,Matches,f76e6b4e
4,Alisson,br BRA,GK,Roma,it Serie A,24,1992,37.0,28,3,0,2,0,35.4,0.23,+7.4,+0.20,213,416,51.2,1069,239,28.9,32.1,252,42.5,41.0,469,17,3.6,90,2.43,18.9,Matches,7a2e46a8
5,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,16.4,29,1,0,4,1,23.3,0.31,-4.7,-0.29,110,285,38.6,494,48,40.5,36.3,129,65.9,50.6,214,8,3.7,18,1.10,14.1,Matches,8875b8c9
6,Ibrahim Amadou,fr FRA,MFDF,Lille,fr Ligue 1,24,1993,26.7,2,1,0,0,0,1.5,0.20,-0.5,-0.02,0,0,,0,0,,,0,,,1,0,0.0,0,0.00,,Matches,9260926b
7,Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,27,1989,1.0,2,0,0,0,0,2.7,0.34,+0.7,+0.71,8,26,30.8,25,1,72.0,54.5,8,100.0,71.5,9,1,11.1,0,0.00,8.0,Matches,983ccabe
8,Nícolas Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36.0,71,6,4,9,2,64.5,0.25,-4.5,-0.13,363,878,41.3,1038,247,53.4,41.1,399,81.2,55.0,728,49,6.7,32,0.89,12.7,Matches,326d09ef
9,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,33,1984,8.5,8,2,0,1,0,9.0,0.19,+1.0,+0.12,76,147,51.7,291,24,36.4,35.1,70,58.6,41.4,127,9,7.1,15,1.77,14.8,Matches,011d8c56
10,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,24,1993,34.0,25,1,2,5,1,26.2,0.24,+2.2,+0.07,52,102,51.0,659,167,9.7,22.8,240,15.8,29.3,404,22,5.4,50,1.47,16.1,Matches,2f965a72
11,Kepa Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,22,1994,30.0,43,1,3,5,3,43.4,0.30,+3.4,+0.11,318,644,49.4,843,112,56.5,42.2,206,81.6,58.1,395,23,5.8,22,0.73,13.4,Matches,28d596a0
12,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,28,1989,23.0,30,3,1,2,0,32.0,0.29,+2.0,+0.09,124,346,35.8,454,118,43.8,37.4,200,73.5,52.8,399,26,6.5,26,1.13,12.8,Matches,9f0ea33f
13,Mariano Barbosa,ar ARG,GK,Villarreal,es La Liga,33,1984,12.5,14,1,0,2,0,13.8,0.28,-0.2,-0.01,46,152,30.3,230,57,30.4,32.4,105,78.1,54.1,243,5,2.1,5,0.40,10.0,Matches,aad4f74f
14,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,27,1990,34.0,48,3,1,9,2,42.6,0.27,-3.4,-0.10,223,590,37.8,1181,179,36.2,33.4,261,62.5,47.9,480,37,7.7,28,0.82,12.5,Matches,47064058
15,Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,30,1987,38.0,61,2,2,7,1,54.8,0.31,-5.2,-0.14,223,647,34.5,832,215,45.7,38.9,328,81.4,55.5,611,35,5.7,18,0.47,10.2,Matches,7b4de647
16,Vid Belec,si SVN,GK,Benevento,it Serie A,27,1990,12.4,27,3,1,1,2,28.9,0.36,+3.9,+0.32,54,171,31.6,264,70,42.0,37.4,108,55.6,43.4,209,13,6.2,9,0.73,11.4,Matches,4f8ce0e1
17,Vid Belec,si SVN,GK,Sampdoria,it Serie A,27,1990,2.0,5,1,0,1,0,4.4,0.23,-0.6,-0.28,7,23,30.4,70,10,27.1,26.5,16,25.0,32.8,35,0,0.0,4,2.00,20.5,Matches,4f8ce0e1
18,Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,33,1983,2.5,0,0,0,0,0,1.9,0.31,+1.9,+0.75,12,28,42.9,42,12,40.5,32.3,23,47.8,41.7,37,1,2.7,1,0.40,16.2,Matches,b7e7937d
19,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,24,1993,28.0,36,3,1,0,2,37.1,0.29,+3.1,+0.11,102,262,38.9,542,161,24.9,29.2,232,54.7,43.9,445,13,2.9,4,0.14,11.1,Matches,8a2248b4
20,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,28,1989,31.0,34,1,2,2,0,33.3,0.32,-0.7,-0.02,183,412,44.4,609,169,36.5,34.5,233,81.5,54.0,396,18,4.5,25,0.81,14.1,Matches,ee833569
21,Quentin Beunardeau,fr FRA,GK,Metz,fr Ligue 1,23,1994,0.4,2,0,0,0,0,1.6,0.40,-0.4,-0.90,8,17,47.1,16,2,87.5,45.0,4,75.0,59.0,8,0,0.0,1,2.31,21.0,Matches,15285503
22,Albano Bizzarri,ar ARG,GK,Udinese,it Serie A,39,1977,32.0,52,2,1,9,4,44.5,0.29,-3.5,-0.11,253,576,43.9,791,141,45.5,38.0,300,72.0,48.8,525,25,4.8,30,0.94,13.1,Matches,32b9b5fa
23,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,22,1995,21.6,31,3,0,4,0,26.2,0.28,-4.8,-0.22,137,415,33.0,660,76,45.6,38.8,151,75.5,55.2,325,6,1.8,20,0.93,13.8,Matches,967f34d3
24,Landry Bonnefoi,fr FRA,GK,Strasbourg,fr Ligue 1,33,1983,3.0,6,0,0,1,0,4.8,0.28,-1.2,-0.39,17,42,40.5,45,12,51.1,38.9,28,67.9,46.5,53,1,1.9,0,0.00,8.8,Matches,e65dd8dc
25,Jean-Christophe Bouet,fr FRA,GK,Amiens,fr Ligue 1,34,1983,1.0,1,0,0,0,0,1.3,0.19,+0.3,+0.30,7,21,33.3,17,4,52.9,40.4,13,92.3,55.4,19,0,0.0,0,0.00,5.0,Matches,96908f80
26,Yassine Bounou,ma MAR,GK,Girona,es La Liga,26,1991,29.5,46,4,2,2,1,44.5,0.30,-0.5,-0.02,226,635,35.6,633,86,65.9,46.0,243,89.7,60.8,411,9,2.2,29,0.98,14.4,Matches,f6798fc3
27,Claudio Bravo,cl CHI,GK,Manchester City,eng Premier League,34,1983,2.5,1,0,0,0,0,1.6,0.31,+0.6,+0.22,4,9,44.4,61,16,6.6,25.3,10,50.0,39.5,21,2,9.5,3,1.19,15.4,Matches,10072610
28,Alberto Brignoli,it ITA,GK,Benevento,it Serie A,25,1991,12.5,31,2,0,6,0,26.0,0.35,-5.0,-0.40,87,263,33.1,384,63,47.7,39.4,116,69.0,51.1,204,20,9.8,27,2.16,16.3,Matches,6989550f
29,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,39,1978,20.7,14,3,0,2,2,17.5,0.25,+5.5,+0.26,84,191,44.0,474,97,28.1,31.9,150,38.7,36.8,242,3,1.2,19,0.92,14.0,Matches,e40d028b
30,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,26,1990,33.0,43,3,2,3,0,45.5,0.30,+2.5,+0.08,163,481,33.9,1050,185,31.7,32.4,237,62.4,49.7,404,40,9.9,38,1.15,14.0,Matches,9d12e142
31,Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,34,1983,18.4,22,3,1,1,2,19.6,0.25,-0.4,-0.02,89,314,28.3,390,84,48.2,38.6,145,86.9,54.7,255,22,8.6,25,1.36,16.2,Matches,26975a92
32,Jack Butland,eng ENG,GK,Stoke City,eng Premier League,24,1993,35.0,61,5,0,8,2,61.7,0.29,+2.7,+0.08,377,969,38.9,934,103,71.1,48.4,338,90.2,62.4,609,25,4.1,39,1.11,13.7,Matches,cc70a1d5
33,Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,35,1981,3.0,4,0,0,0,0,3.5,0.36,-0.5,-0.18,16,38,42.1,85,12,31.8,29.2,15,73.3,51.7,33,1,3.0,5,1.67,17.7,Matches,a179d516
34,Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,23,1994,10.0,16,0,1,1,1,13.2,0.33,-1.8,-0.18,39,79,49.4,192,36,16.7,26.3,91,51.6,43.4,117,5,4.3,5,0.50,12.0,Matches,950ff24d
35,Kiko Casilla,es ESP,GK,Real Madrid,es La Liga,30,1986,10.0,11,0,0,1,1,10.5,0.37,+0.5,+0.05,31,76,40.8,195,48,22.1,31.0,72,45.8,41.3,118,4,3.4,5,0.50,13.3,Matches,58bc7d18
36,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,25,1992,34.0,48,6,1,4,2,50.4,0.28,+4.4,+0.13,248,654,37.9,1043,210,44.2,38.0,288,67.0,52.0,522,57,10.9,30,0.88,12.1,Matches,db401046
37,Petr Čech,cz CZE,GK,Arsenal,eng Premier League,35,1982,33.8,48,5,0,6,0,45.9,0.30,-2.1,-0.06,149,414,36.0,809,223,34.4,34.4,225,60.4,47.2,426,33,7.7,52,1.54,14.4,Matches,71672fa0
38,Nereo Champagne,ar ARG,GK,Leganés,es La Liga,32,1985,2.0,6,1,1,0,0,4.7,0.47,-1.3,-0.65,19,43,44.2,38,4,65.8,46.3,19,94.7,58.3,21,1,4.8,2,1.00,16.0,Matches,7a9fae62
39,Leandro Chichizola,ar ARG,GK,Las Palmas,es La Liga,27,1990,27.0,47,3,1,4,1,50.8,0.33,+4.8,+0.18,156,443,35.2,907,175,35.2,34.1,230,53.9,47.1,376,23,6.1,57,2.11,17.0,Matches,8d957256
40,Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,28,1989,1.0,1,0,0,0,0,0.7,0.10,-0.3,-0.32,1,6,16.7,21,5,23.8,27.9,10,10.0,30.4,7,0,0.0,0,0.00,7.7,Matches,04ac8285
41,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,30,1987,36.8,58,2,3,7,1,50.5,0.29,-6.5,-0.18,277,599,46.2,813,182,47.4,39.3,296,72.3,49.0,606,22,3.6,23,0.62,11.9,Matches,8cabdc1e
42,Alex Cordaz,it ITA,GK,Crotone,it Serie A,34,1983,38.0,66,6,3,13,0,63.7,0.29,-2.3,-0.06,312,916,34.1,824,98,71.5,47.8,355,92.1,58.6,691,8,1.2,32,0.84,13.8,Matches,e66ebabb
43,Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,33,1983,4.0,5,1,0,1,0,5.0,0.24,0.0,-0.01,32,76,42.1,123,30,36.6,34.0,42,73.8,51.2,58,1,1.7,5,1.25,17.3,Matches,18736214
44,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,30,1987,36.0,45,4,4,5,1,38.7,0.25,-5.3,-0.15,236,629,37.5,875,150,45.3,38.9,295,79.0,54.9,475,30,6.3,34,0.94,14.5,Matches,2434f24a
45,Thibaut Courtois,be BEL,GK,Chelsea,eng Premier League,25,1992,35.0,34,2,0,2,2,31.6,0.29,-0.4,-0.01,153,430,35.6,949,214,32.0,33.8,248,50.8,45.3,446,26,5.8,24,0.69,13.2,Matches,1840e36d
46,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,23,1994,28.2,47,6,4,1,1,43.7,0.28,-2.3,-0.08,219,484,45.2,548,127,48.5,38.6,255,85.5,56.9,454,26,5.7,15,0.53,10.6,Matches,f554e29b
47,Luca Crosta,it ITA,GK,Cagliari,it Serie A,19,1998,1.0,3,1,0,0,0,2.5,0.49,-0.5,-0.53,2,10,20.0,12,3,25.0,30.8,10,70.0,48.3,18,0,0.0,0,0.00,8.8,Matches,a4ec7d09
48,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,33,1984,35.0,43,5,3,4,0,44.4,0.28,+1.4,+0.04,311,894,34.8,859,89,75.2,49.4,258,96.1,63.8,481,29,6.0,47,1.34,15.7,Matches,75751c99
49,Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,26,1990,10.0,15,3,0,0,2,15.8,0.28,+2.8,+0.28,78,232,33.6,247,37,62.3,43.2,87,89.7,57.9,159,11,6.9,4,0.40,11.7,Matches,cde3309f
50,Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,25,1992,3.0,5,1,1,0,0,5.8,0.33,+0.8,+0.28,18,38,47.4,58,13,36.2,31.1,20,85.0,55.7,29,3,10.3,4,1.33,14.5,Matches,26383ea5
51,Thomas Didillon,fr FRA,GK,Metz,fr Ligue 1,21,1995,9.0,14,3,0,0,1,13.6,0.31,+0.6,+0.07,73,165,44.2,194,46,49.0,40.3,79,88.6,56.6,145,12,8.3,10,1.11,14.0,Matches,a3d524cb
52,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,25,1992,36.0,49,4,2,2,3,44.7,0.34,-1.3,-0.04,334,888,37.6,942,93,72.4,51.4,216,95.4,70.1,339,21,6.2,97,2.69,19.0,Matches,ac295d9e
53,Jaume Doménech,es ESP,GK,Valencia,es La Liga,26,1990,5.0,5,0,0,1,0,6.9,0.34,+1.9,+0.39,18,48,37.5,106,31,25.5,29.2,34,61.8,48.8,81,2,2.5,3,0.60,11.9,Matches,c9cb972b
54,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,18,1999,38.0,42,2,0,4,1,38.9,0.28,-2.1,-0.05,174,392,44.4,968,150,28.0,29.7,267,45.3,37.8,487,16,3.3,39,1.03,14.1,Matches,08f5afaa
55,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,19,1997,2.4,8,0,1,1,0,5.6,0.34,-2.4,-1.01,10,30,33.3,41,6,56.1,42.7,10,70.0,49.3,31,1,3.2,1,0.41,11.0,Matches,085e71a7
56,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,28,1989,12.0,11,0,0,0,0,14.2,0.36,+3.2,+0.26,61,198,30.8,255,32,48.2,38.5,93,80.6,56.0,184,13,7.1,13,1.08,12.9,Matches,3a949a25
57,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,24,1993,1.0,3,1,0,0,0,2.1,0.22,-0.9,-0.91,7,17,41.2,14,4,64.3,44.7,8,100.0,63.9,20,3,15.0,3,3.00,13.7,Matches,0e12089d
58,Ederson,br BRA,GK,Manchester City,eng Premier League,23,1993,35.5,26,0,1,1,2,23.9,0.28,-0.1,0.00,110,230,47.8,935,167,15.5,26.2,160,53.1,46.1,265,19,7.2,87,2.45,18.8,Matches,3bb7b8b4
59,Rob Elliot,ie IRL,GK,Newcastle Utd,eng Premier League,31,1986,16.0,21,1,0,3,1,18.8,0.27,-1.2,-0.07,154,371,41.5,378,46,63.5,44.1,159,82.4,55.8,258,15,5.8,15,0.94,13.2,Matches,b1b25949
60,Michael Esser,de GER,GK,Hannover 96,de Bundesliga,29,1987,3.0,9,0,0,0,0,6.8,0.34,-2.2,-0.73,23,51,45.1,97,20,41.2,35.0,25,44.0,39.5,55,8,14.5,3,1.00,12.6,Matches,83e0eeb4
61,Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,32,1985,38.0,56,3,1,5,2,59.5,0.28,+5.5,+0.14,315,812,38.8,914,159,54.5,42.2,358,87.7,59.9,615,42,6.8,22,0.58,11.4,Matches,9328b835
62,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,28,1988,33.5,37,3,1,3,1,35.3,0.25,-0.7,-0.02,190,476,39.9,714,126,45.7,38.3,236,63.6,47.4,456,53,11.6,18,0.54,10.9,Matches,1e43fad8
63,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,30,1986,2.5,6,1,0,2,0,5.0,0.26,-1.0,-0.42,10,34,29.4,42,9,38.1,32.0,27,66.7,48.2,45,0,0.0,5,2.00,16.1,Matches,307fcd26
64,Raúl Fernández,es ESP,GK,Levante,es La Liga,29,1988,11.0,15,0,1,3,0,16.3,0.31,+1.3,+0.11,108,248,43.5,228,33,69.3,47.8,95,94.7,62.8,185,8,4.3,17,1.55,17.8,Matches,6fb59070
65,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,29,1988,20.0,30,0,1,2,0,25.8,0.26,-4.2,-0.21,101,343,29.4,360,62,59.7,43.4,146,87.7,59.1,258,10,3.9,14,0.70,14.1,Matches,c3e39f12
66,Ben Foster,eng ENG,GK,West Brom,eng Premier League,34,1983,37.0,55,1,2,7,2,45.7,0.30,-7.3,-0.20,346,904,38.3,811,70,71.6,48.5,338,95.6,65.7,592,37,6.3,27,0.73,12.8,Matches,d0b3ceb9
67,Paulo Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,25,1992,1.0,0,0,0,0,0,0.7,0.25,+0.7,+0.74,3,7,42.9,17,3,29.4,32.9,8,25.0,30.9,10,2,20.0,1,1.00,12.3,Matches,63d17038
68,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,26,1990,37.0,28,1,1,5,2,38.5,0.28,+12.5,+0.34,232,613,37.8,799,147,48.6,39.6,290,77.6,55.8,483,16,3.3,21,0.57,12.8,Matches,7ba6d84e
69,Rafał Gikiewicz,pl POL,GK,Freiburg,de Bundesliga,29,1987,1.7,3,0,0,0,0,1.5,0.21,-1.5,-0.89,28,57,49.1,52,7,67.3,48.9,23,95.7,66.2,41,2,4.9,1,0.58,14.5,Matches,17376543
70,Dani Giménez,es ESP,GK,Betis,es La Liga,34,1983,3.4,0,0,0,0,0,1.5,0.19,+1.5,+0.44,8,40,20.0,94,10,34.0,34.5,20,40.0,36.4,62,3,4.8,2,0.58,10.4,Matches,7c218bf9
71,Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,22,1995,6.9,4,0,0,1,0,5.6,0.34,+1.6,+0.24,22,51,43.1,145,24,17.2,29.9,50,52.0,44.9,90,2,2.2,5,0.72,15.7,Matches,f0f7f62f
72,Heurelho Gomes,br BRA,GK,Watford,eng Premier League,36,1981,23.6,40,3,1,7,1,36.0,0.34,-3.0,-0.13,199,483,41.2,566,115,60.4,42.3,179,78.8,56.5,342,15,4.4,18,0.76,12.2,Matches,d596e193
73,Alfred Gomis,sn SEN,GK,SPAL,it Serie A,23,1993,25.1,43,6,1,5,2,44.8,0.27,+3.8,+0.15,161,486,33.1,571,103,59.2,44.1,221,67.0,48.8,415,13,3.1,20,0.80,13.8,Matches,cecbce23
74,Mathieu Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,26,1990,4.0,6,0,1,0,0,4.9,0.38,-1.1,-0.28,9,30,30.0,70,12,31.4,34.4,24,33.3,38.6,63,3,4.8,0,0.00,11.6,Matches,4d3e9033
75,Lee Grant,eng ENG,GK,Stoke City,eng Premier League,34,1983,3.0,7,0,0,1,0,4.8,0.32,-2.2,-0.74,25,60,41.7,69,14,59.4,42.9,23,82.6,58.0,39,1,2.6,4,1.33,18.6,Matches,9dab6e3b
76,Vicente Guaita,es ESP,GK,Getafe,es La Liga,30,1987,33.0,26,1,0,1,0,35.8,0.31,+9.8,+0.30,243,797,30.5,710,69,73.5,49.2,284,96.8,64.1,479,21,4.4,34,1.03,15.0,Matches,ab13a5aa
77,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,27,1990,33.0,52,5,0,8,0,47.1,0.29,-4.9,-0.15,223,545,40.9,895,152,43.8,36.0,206,74.3,50.6,440,36,8.2,33,1.00,13.9,Matches,bcb2ccd8
78,Régis Gurtner,fr FRA,GK,Amiens,fr Ligue 1,30,1986,37.0,41,4,0,3,0,48.9,0.27,+7.9,+0.21,329,909,36.2,894,98,63.3,43.9,361,95.0,58.9,634,31,4.9,25,0.68,12.6,Matches,bc270726
79,Ben Hamer,eng ENG,GK,Leicester City,eng Premier League,29,1987,3.1,7,1,0,0,0,6.4,0.43,-0.6,-0.21,18,47,38.3,66,15,47.0,39.1,20,80.0,56.3,39,0,0.0,4,1.31,14.3,Matches,d822a850
80,Samir Handanović,si SVN,GK,Inter,it Serie A,33,1984,38.0,30,2,1,1,4,30.5,0.25,+4.5,+0.12,127,280,45.4,808,250,18.7,26.1,312,41.3,35.9,546,20,3.7,23,0.61,14.0,Matches,74419746
81,Joe Hart,eng ENG,GK,West Ham,eng Premier League,30,1987,19.0,39,4,0,4,0,32.8,0.32,-6.2,-0.33,175,469,37.3,441,52,72.1,49.1,155,97.4,67.0,284,4,1.4,11,0.58,13.0,Matches,cb4f24c6
82,Tom Heaton,eng ENG,GK,Burnley,eng Premier League,31,1986,3.4,4,0,0,1,0,4.8,0.41,+0.8,+0.23,31,77,40.3,84,22,61.9,47.2,32,78.1,60.7,62,2,3.2,2,0.59,11.2,Matches,a6de6361
83,Wayne Hennessey,wls WAL,GK,Crystal Palace,eng Premier League,30,1987,27.0,41,1,1,7,2,38.2,0.30,-0.8,-0.03,226,587,38.5,554,92,68.2,47.3,227,92.1,65.2,435,31,7.1,22,0.81,13.4,Matches,76eca7e2
84,Iago Herrerín,es ESP,GK,Athletic Club,es La Liga,29,1988,8.0,6,2,0,0,0,8.5,0.19,+2.5,+0.32,89,196,45.4,223,28,61.9,43.6,65,89.2,61.1,130,6,4.6,9,1.13,14.2,Matches,9109185e
85,Marwin Hitz,ch SUI,GK,Augsburg,de Bundesliga,29,1987,32.0,42,1,2,11,0,42.0,0.26,0.0,0.00,264,552,47.8,881,150,45.1,37.8,267,58.1,44.6,440,29,6.6,17,0.53,12.5,Matches,2e7ff968
86,Timo Horn,de GER,GK,Köln,de Bundesliga,24,1993,34.0,70,8,0,7,0,66.5,0.29,-3.5,-0.10,302,746,40.5,787,84,62.9,44.1,299,83.9,57.3,592,25,4.2,31,0.91,13.7,Matches,3cd9e95a
87,Lukáš Hrádecký,fi FIN,GK,Eint Frankfurt,de Bundesliga,27,1989,34.0,45,2,2,7,2,41.3,0.30,-1.7,-0.05,271,662,40.9,1058,164,45.0,37.2,241,77.2,56.1,483,46,9.5,59,1.74,15.2,Matches,ad3389d5
88,Gorka Iraizoz,es ESP,GK,Girona,es La Liga,36,1981,8.5,13,0,1,0,2,13.3,0.37,+2.3,+0.27,63,162,38.9,196,47,59.7,43.7,52,86.5,57.3,77,5,6.5,14,1.65,15.3,Matches,26f2473f
89,Eldin Jakupović,ch SUI,GK,Leicester City,eng Premier League,32,1984,2.0,6,0,0,0,1,4.6,0.39,-0.4,-0.18,16,36,44.4,41,12,56.1,45.4,14,92.9,61.8,24,0,0.0,8,4.00,20.1,Matches,1148323a
90,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,32,1984,31.0,44,5,0,7,1,35.8,0.22,-7.2,-0.23,286,761,37.6,882,101,61.5,44.0,249,88.0,57.9,483,37,7.7,15,0.48,11.9,Matches,27d2618c
91,Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,27,1990,38.0,59,5,0,5,1,50.5,0.26,-7.5,-0.20,295,705,41.8,867,163,52.4,41.2,308,81.5,58.6,547,27,4.9,21,0.55,12.9,Matches,a56bd2ee
92,Bingourou Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,20,1996,18.8,32,2,0,6,0,26.7,0.29,-5.3,-0.28,132,338,39.1,450,76,44.7,38.3,168,81.5,54.8,283,19,6.7,12,0.64,12.6,Matches,3814120d
93,Loris Karius,de GER,GK,Liverpool,eng Premier League,24,1993,19.0,14,2,0,2,0,13.3,0.23,-0.7,-0.04,66,227,29.1,524,106,33.0,32.6,103,52.4,45.8,199,10,5.0,33,1.74,17.5,Matches,32e7ce92
94,Orestis Karnezis,gr GRE,GK,Watford,eng Premier League,32,1985,14.4,24,3,0,2,0,19.8,0.31,-4.2,-0.29,121,321,37.7,323,31,76.2,48.2,81,92.6,58.0,182,10,5.5,9,0.63,13.4,Matches,85b011bb
95,Eiji Kawashima,jp JPN,GK,Metz,fr Ligue 1,34,1983,28.5,60,0,1,9,1,56.7,0.34,-2.3,-0.08,218,582,37.5,655,141,55.9,42.5,237,91.1,60.5,406,7,1.7,33,1.16,15.5,Matches,a4527d33
96,Hervé Koffi,bf BFA,GK,Lille,fr Ligue 1,20,1996,4.0,11,1,0,2,1,8.1,0.35,-1.9,-0.48,18,50,36.0,88,16,37.5,36.4,35,48.6,45.6,59,7,11.9,11,2.75,16.3,Matches,faf873a7
97,Tomáš Koubek,cz CZE,GK,Rennes,fr Ligue 1,24,1992,34.0,36,2,0,5,2,40.1,0.29,+6.1,+0.18,205,578,35.5,704,103,52.7,40.6,269,77.0,54.2,510,25,4.9,49,1.44,15.5,Matches,dc366c36
98,Maksym Koval,ua UKR,GK,La Coruña,es La Liga,24,1992,1.3,3,,,,,1.2,0.24,,,11,26,42.3,29,9,44.8,37.4,19,68.4,54.4,27,,,,,9.3,Matches,60713cb3
99,Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,29,1988,3.0,2,1,0,0,0,3.5,0.18,+1.5,+0.51,30,79,38.0,108,5,59.3,41.5,28,53.6,44.2,39,0,0.0,4,1.33,18.2,Matches,bb25c778
100,Alban Lafont,fr FRA,GK,Toulouse,fr Ligue 1,18,1999,38.0,54,6,3,6,2,52.2,0.30,+0.2,+0.01,315,740,42.6,931,166,51.9,39.6,331,77.6,54.6,565,23,4.1,79,2.08,17.7,Matches,4e7db402
101,Eugenio Lamanna,it ITA,GK,Genoa,it Serie A,27,1989,1.0,1,0,0,0,0,2.1,0.70,+1.1,+1.09,8,14,57.1,14,1,50.0,42.3,8,87.5,56.6,17,0,0.0,0,0.00,9.0,Matches,349601c3
